index,w,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y,revenues
1,0,1,3,1,0,0,280,57,1,32283,0,10,1,57.05
2,1,0,3,0,0,0,95,43,3,23246,0,9,1,41.75
3,1,1,2,1,0,0,124,45,2,17134,4,10,0,60.05
4,1,1,2,1,0,0,220,48,3,26019,1,9,0,41.75
5,1,0,3,1,0,0,130,38,4,28163,0,9,1,41.75
6,1,0,2,0,0,0,214,50,3,25473,0,9,0,41.75
7,0,0,3,0,0,0,170,57,1,30457,0,9,1,41.75
8,0,0,3,1,0,0,158,40,7,25944,0,9,1,41.75
9,1,0,3,0,0,0,166,52,2,22741,0,9,1,41.75
10,1,0,3,1,1,0,272,54,4,28997,0,9,0,41.75
11,0,0,3,0,0,0,71,49,4,17793,2,9,0,41.75
12,1,0,3,1,0,0,90,33,5,28382,1,9,0,41.75
13,0,0,2,1,0,0,160,54,8,15474,0,9,1,41.75
14,0,0,3,1,1,0,42,30,1,25378,0,9,0,61.7
15,1,1,3,1,0,0,75,28,3,28193,3,9,0,47.75
16,0,0,2,0,0,0,17,59,2,19203,0,9,1,41.75
17,1,0,2,1,0,0,225,47,4,30103,0,9,0,41.75
18,1,1,2,0,0,0,165,50,2,24579,0,9,0,41.75
19,1,0,2,1,1,0,177,36,1,19971,0,9,0,61.7
20,1,0,2,1,0,0,68,43,3,24723,0,9,0,41.75
21,1,0,2,1,0,0,225,43,5,27969,0,9,1,41.75
22,1,0,2,1,0,0,176,39,6,25179,0,9,0,41.75
23,0,0,3,1,0,0,256,52,2,27713,0,9,1,41.75
24,1,0,3,1,0,0,114,39,4,19538,3,9,0,41.75
25,0,0,3,1,0,0,100,32,1,28604,2,9,1,44.75
26,0,0,2,1,0,0,124,45,1,22537,0,9,1,41.75
27,0,0,2,1,1,0,127,43,1,17390,0,9,0,41.75
28,0,0,3,1,1,0,204,43,1,29818,0,9,1,61.7
29,0,0,3,1,0,0,330,46,2,22886,0,10,1,57.05
30,1,0,3,1,0,0,299,59,5,22104,0,9,0,41.75
31,1,1,3,0,0,0,21,29,2,39991,1,5,0,5.95
32,1,0,3,1,0,0,268,54,7,37286,4,9,1,71.75
33,1,0,3,1,1,0,167,42,4,22281,0,9,0,64.7
34,1,1,3,1,0,0,362,66,2,27690,1,7,0,31.55
35,0,0,3,1,1,0,176,43,3,28018,0,9,1,41.75
36,0,0,2,1,0,0,46,27,1,25849,0,9,1,41.75
37,0,0,2,1,0,0,101,33,4,18049,0,9,0,41.75
38,0,0,3,1,1,0,233,55,3,22770,0,9,0,61.7
39,0,0,2,1,0,0,271,47,4,22007,0,9,1,41.75
40,0,0,2,0,0,0,125,47,2,15959,0,9,0,41.75
41,1,0,3,1,0,0,326,63,2,23400,1,9,1,41.75
42,1,0,3,1,1,0,176,47,3,23200,6,9,1,61.7
43,0,0,3,0,0,0,249,63,4,24618,0,9,0,41.75
44,0,1,3,1,0,0,125,39,2,30110,0,9,1,41.75
45,1,0,3,1,1,0,116,45,1,23920,2,9,0,64.7
46,0,1,2,1,1,0,117,33,5,18754,5,9,0,61.7
47,1,0,2,0,0,0,159,68,2,20223,0,9,0,41.75
48,0,0,3,1,0,0,54,27,2,23123,2,9,1,44.75
49,0,1,2,1,1,0,49,44,1,34937,0,9,0,61.7
50,0,0,3,1,0,0,306,51,4,27943,0,9,0,41.75
51,0,0,3,1,0,0,217,55,2,21912,1,9,1,41.75
52,1,0,2,0,0,0,163,48,4,26053,1,9,0,41.75
53,1,0,2,1,0,0,125,45,3,19444,0,9,0,41.75
54,0,0,2,0,0,0,17,28,3,27236,0,9,0,41.75
55,1,1,2,1,0,0,193,48,3,17903,5,9,0,41.75
56,0,0,2,1,1,0,109,56,3,20029,0,9,0,61.7
57,1,1,3,1,0,0,389,60,2,31916,0,9,0,41.75
58,1,1,3,0,0,0,68,33,2,24279,0,9,0,41.75
59,0,0,3,1,0,0,295,50,4,27125,0,9,1,41.75
60,0,0,2,1,0,0,57,47,6,24694,0,9,1,41.75
61,0,1,2,0,0,0,83,69,2,30485,1,9,1,41.75
62,1,0,2,1,0,0,345,37,4,21523,0,9,0,41.75
63,1,0,2,0,0,0,228,42,6,29498,0,9,0,41.75
64,0,0,3,0,0,0,102,33,4,20740,0,9,0,41.75
65,0,0,3,1,0,0,240,52,3,22841,0,9,1,41.75
66,1,0,2,1,0,0,94,34,3,21779,0,9,0,41.75
67,0,0,2,0,1,0,19,53,1,24155,4,9,0,73.7
68,1,0,3,0,0,0,239,48,4,24102,0,9,1,41.75
69,0,0,2,1,1,0,37,40,1,39525,10,9,0,41.75
70,0,0,3,1,0,0,211,45,3,26087,0,9,0,41.75
71,0,0,2,0,1,0,99,50,4,25773,0,9,0,41.75
72,1,1,2,0,0,0,45,35,4,17985,0,9,0,41.75
73,0,0,2,1,0,0,401,64,2,29478,0,9,1,41.75
74,0,1,3,1,0,0,37,35,3,25430,5,9,0,44.75
75,1,0,3,1,0,0,201,43,4,20872,0,9,1,41.75
76,0,0,2,0,0,0,105,33,4,19755,0,9,1,41.75
77,0,0,2,1,0,0,112,46,5,24586,0,9,1,41.75
78,1,0,3,0,1,0,179,41,4,26880,0,9,0,61.7
79,0,0,3,1,0,0,207,44,5,28281,0,9,1,41.75
80,0,0,2,0,0,0,129,38,5,23988,0,9,1,41.75
81,0,0,2,1,0,0,109,67,2,27756,0,9,0,41.75
82,0,1,3,1,0,0,303,66,2,23997,0,9,0,41.75
83,0,1,3,1,0,0,99,57,3,25405,0,0,0,41.75
84,0,1,3,0,0,0,100,38,5,24277,1,7,0,31.55
85,0,0,2,1,0,0,142,36,2,22168,0,9,1,41.75
86,1,1,3,1,0,0,360,59,2,25077,0,9,1,41.75
87,0,1,2,0,0,0,13,54,2,21135,4,9,1,53.75
88,1,0,3,1,1,0,203,43,3,22867,0,9,0,61.7
89,1,1,2,0,0,0,308,51,2,27448,0,9,1,41.75
90,1,0,2,1,1,0,137,60,2,19010,0,9,0,61.7
91,1,0,3,1,0,0,100,29,1,20376,0,9,0,41.75
92,0,0,3,1,0,0,108,40,2,25138,0,9,1,41.75
93,0,0,3,0,0,0,59,41,3,20872,0,9,1,41.75
94,1,1,2,1,0,0,388,69,5,21746,0,9,0,41.75
95,1,0,3,1,0,0,138,42,3,21387,0,9,1,41.75
96,1,0,2,1,1,0,137,34,4,26967,12,9,0,61.7
97,1,0,2,1,1,0,128,72,2,21492,0,7,0,31.55
98,1,1,3,1,0,0,392,60,2,35549,0,9,1,41.75
99,0,1,3,1,1,0,360,59,2,22063,0,9,0,61.7
100,1,1,2,1,0,0,181,62,2,17903,0,9,1,41.75
101,1,1,3,1,0,0,13,36,4,24746,44,10,0,75.05
102,0,0,3,1,0,0,317,57,3,20740,0,9,1,41.75
103,0,0,3,1,0,0,259,47,2,32850,0,9,1,41.75
104,1,0,2,1,0,0,76,33,1,26896,3,9,1,41.75
105,0,0,2,1,0,0,115,48,3,16355,0,9,0,41.75
106,1,0,2,1,0,0,45,40,3,24877,0,9,0,41.75
107,1,0,2,1,0,0,27,31,3,24689,0,9,0,41.75
108,1,0,2,0,0,0,25,55,1,17733,0,9,0,41.75
109,0,0,2,1,0,0,100,48,4,21123,0,9,0,41.75
110,1,0,3,1,0,0,108,58,3,25029,0,9,0,41.75
111,0,0,2,1,0,0,277,51,5,22007,0,9,1,41.75
112,0,1,3,1,0,0,107,41,2,26845,1,9,0,41.75
113,0,0,2,0,0,0,223,45,4,37038,0,9,0,47.75
114,1,0,3,1,1,0,124,37,4,24347,0,9,0,61.7
115,0,1,3,1,1,0,111,52,5,35518,6,9,0,61.7
116,1,0,2,1,0,0,214,50,2,23850,0,9,1,41.75
117,0,0,3,1,0,0,27,62,3,30138,0,9,0,41.75
118,1,0,2,1,0,0,188,57,6,28200,1,0,1,44.75
119,0,0,2,0,0,0,105,58,1,24426,0,9,0,41.75
120,1,0,2,1,0,0,76,33,1,41288,0,9,0,47.75
121,1,0,3,0,0,0,119,43,2,31660,0,9,1,41.75
122,1,1,2,1,0,0,227,50,3,19537,0,9,0,41.75
123,1,0,2,1,0,0,396,69,3,17545,0,9,0,41.75
124,0,1,3,1,1,0,262,49,3,28510,11,9,0,61.7
125,1,0,2,0,0,0,50,30,1,24838,2,7,0,43.55
126,1,0,3,1,0,0,300,54,2,27644,2,9,0,41.75
127,0,0,2,1,0,0,125,72,3,18398,0,9,0,41.75
128,0,0,2,1,0,0,32,52,4,34014,0,10,0,57.05
129,0,0,2,1,0,0,179,55,2,20204,0,9,1,41.75
130,1,0,3,1,0,0,179,41,6,22249,0,9,0,41.75
131,1,0,3,1,0,0,141,51,4,47982,0,9,0,41.75
132,1,0,3,1,0,0,14,67,2,22240,0,7,0,31.55
133,0,1,3,1,0,0,148,41,1,25453,3,9,0,41.75
134,1,1,2,1,0,0,71,43,3,30622,0,9,1,41.75
135,0,1,3,1,0,0,212,48,4,29363,20,9,1,44.75
136,0,0,2,1,1,0,255,77,2,21628,0,10,1,80
137,1,0,3,1,0,0,126,42,5,36368,0,9,0,41.75
138,0,0,3,1,0,0,179,50,4,21383,0,9,1,41.75
139,1,0,2,1,0,0,216,53,3,27059,1,9,0,41.75
140,1,0,3,0,1,0,112,43,3,26417,5,9,0,61.7
141,1,0,0,1,0,0,211,43,4,27125,0,9,0,41.75
142,1,1,2,0,0,0,162,52,4,20596,0,9,0,41.75
143,0,1,2,1,0,0,376,59,2,21470,0,9,0,41.75
144,1,1,2,0,0,0,240,53,2,24689,0,9,1,41.75
145,1,0,2,1,0,0,73,55,1,20849,0,9,0,41.75
146,1,0,3,1,0,0,223,45,3,22994,0,9,0,41.75
147,0,1,2,1,1,0,88,45,4,34937,0,1,0,61.7
148,1,0,3,1,0,0,65,40,1,18687,0,9,0,41.75
149,0,0,3,1,0,0,202,67,1,23397,0,9,1,41.75
150,1,0,3,1,0,0,236,57,4,21856,0,9,0,41.75
151,0,0,2,0,1,0,17,35,4,21492,0,9,0,61.7
152,1,1,2,0,0,0,40,29,3,19244,0,9,0,41.75
153,0,1,3,0,0,0,95,43,2,29873,0,9,1,41.75
154,0,0,2,0,1,0,341,61,1,24431,0,9,0,61.7
155,0,1,2,1,0,0,106,56,3,20029,0,9,0,41.75
156,0,0,3,1,0,0,160,43,5,20646,0,9,1,41.75
157,0,0,2,0,1,0,72,52,4,20073,0,0,1,41.75
158,1,1,3,0,0,0,167,41,3,30537,0,9,1,41.75
159,1,0,2,1,0,0,380,61,2,32796,0,9,1,44.75
160,0,1,2,1,0,0,122,53,4,21079,1,9,0,44.75
161,1,0,3,1,0,0,323,52,3,26987,0,9,0,41.75
162,0,0,3,1,0,0,112,38,3,30391,0,9,1,47.75
163,0,0,2,0,1,0,132,39,8,13305,2,9,0,67.7
164,0,0,2,0,0,0,112,31,1,22760,0,9,1,41.75
165,0,0,3,0,0,0,49,30,3,16833,0,9,1,41.75
166,1,1,3,1,1,0,210,52,4,28510,1,9,0,61.7
167,0,0,3,0,0,0,163,44,4,21807,0,9,1,41.75
168,0,0,3,0,0,0,319,61,1,24986,0,7,1,31.55
169,1,0,3,1,0,0,38,26,1,26063,0,9,1,41.75
170,0,0,3,1,0,0,22,27,2,27944,0,9,1,41.75
171,0,0,3,1,0,0,182,42,5,23967,0,7,1,31.55
172,0,0,2,1,0,0,117,70,2,24579,0,7,0,31.55
173,1,0,3,0,0,0,380,61,2,27520,0,9,1,41.75
174,1,0,2,0,0,0,341,63,2,19780,0,7,0,31.55
175,1,0,3,1,0,0,289,53,3,23240,2,9,0,41.75
176,0,0,3,1,0,0,117,64,4,55866,0,9,1,41.75
177,1,0,3,0,0,0,116,36,3,22581,0,9,0,47.75
178,0,0,3,0,0,0,18,40,1,24497,0,9,1,41.75
179,0,1,2,1,0,0,10,29,2,24734,4,9,1,41.75
